Topic,Count,Name,Representation,Representative_Docs,Top Keywords
279,28,279_widespread_pen_picture_rinse,"['widespread', 'pen', 'picture', 'rinse', 'ammount', 'smb', 'royal', 'ensure', 'endorsement', 'follow']","['use issue deposit check constantly problem endorsement ensure sign back check sign line line screen also try write dark pen go point mobile banking bank', 'use issue deposit check constantly problem endorsement ensure sign back check sign line line screen also try write dark pen go point mobile banking bank', 'use issue deposit check constantly problem endorsement ensure sign back check sign line line screen also try write dark pen go point mobile banking bank']","widespread, pen, picture, rinse, ammount, smb, royal, ensure, endorsement, follow"
280,28,280_airplane_launch_signin_elapse,"['airplane', 'launch', 'signin', 'elapse', 'spammer', 'feeling', 'sorta', 'sequence', 'randomly', 'unsafe']","['sometime last month app completely break able sign prompt sorta web page top right require signin view fund get immediately hit crash uninstall reinstall case still annoying might permission issue since phone tell first sign minute elapse sign signin crash', 'crash first launch second launch would make payment credit card third launch work big notification spammer cashback junk ban screenshot entire app include login sequence screenshot error scroll past ad bank service access account every time', 'crash first launch second launch would make payment credit card third launch work big notification spammer cashback junk ban screenshot entire app include login sequence screenshot error scroll past ad bank service access account every time']","airplane, launch, signin, elapse, spammer, feeling, sorta, sequence, randomly, unsafe"
281,28,281_convolute_spammy_science_soooo,"['convolute', 'spammy', 'science', 'soooo', 'splash', 'tape', 'tho', 'scamme', 'itsy', 'goddn']","['want pay credit card bill spammy question splash page get computer science Soooo convolute', 'want pay credit card bill spammy question splash page get computer science Soooo convolute', 'want pay credit card bill spammy question splash page get computer science Soooo convolute']","convolute, spammy, science, soooo, splash, tape, tho, scamme, itsy, goddn"
282,28,282_losh_logon_tech_kat,"['losh', 'logon', 'tech', 'kat', 'delimma', 'strip', 'katherine', 'appt', 'successful', 'rare']","['able use app week call talk tech service hour luck try logon hit app get logon page push blue strip get White Page nothing else everything tell tech service uninstalle app several time app work get really good phone USAA year never experience anything like please help thank Kat Losh KATHERINE LOSH', 'able use app week call talk tech service hour luck try logon hit app get logon page push blue strip get White Page nothing else everything tell tech service uninstalle app several time app work get really good phone USAA year never experience anything like please help thank Kat Losh KATHERINE LOSH', 'able use app week call talk tech service hour luck try logon hit app get logon page push blue strip get White Page nothing else everything tell tech service uninstalle app several time app work get really good phone USAA year never experience anything like please help thank Kat Losh KATHERINE LOSH']","losh, logon, tech, kat, delimma, strip, katherine, appt, successful, rare"
283,28,283_emailed_robbery_hole_necessary,"['emailed', 'robbery', 'hole', 'necessary', 'quality', 'usable', 'forward', 'server', 'task', 'perfectly']","['bad app ever almost necessary banking task app forward website require emailed code app log log website log app require another emailed code log', 'bad app ever almost necessary banking task app forward website require emailed code app log log website log app require another emailed code log', 'bad app ever almost necessary banking task app forward website require emailed code app log log website log app require another emailed code log']","emailed, robbery, hole, necessary, quality, usable, forward, server, task, perfectly"
284,28,284_calculate_heave_net_kicker,"['calculate', 'heave', 'net', 'kicker', 'grrrrrr', 'temporary', 'item', 'rescind', 'refresh', 'subtract']","['app could use improvement like manage net worth app well app calculate correctly double count one internal account add account external account two year one seem fix problem heave report several time', 'app could use improvement like manage net worth app well app calculate correctly double count one internal account add account external account two year one seem fix problem heave report several time', 'app could use improvement like manage net worth app well app calculate correctly double count one internal account add account external account two year one seem fix problem heave report several time']","calculate, heave, net, kicker, grrrrrr, temporary, item, rescind, refresh, subtract"
285,28,285_biometric_reselect_sign_unlock,"['biometric', 'reselect', 'sign', 'unlock', 'brand', 'encounter', 'blink', 'remember', 'recognize', 'save']","['biometric sign never work unlock phone fine biometric though', 'get biometric sign', 'sign time biometric']","biometric, reselect, sign, unlock, brand, encounter, blink, remember, recognize, save"
286,28,286_consideration_chat_agent_human,"['consideration', 'chat', 'agent', 'human', 'dehumanize', 'understanding', 'question', 'technology', 'deaf', 'impersonal']","['want chat understanding question ask live agent well help type respond get pop take long interaction consideration senior use technology much everyone try force technology people consideration everything become dehumanize company care money customer service help anymore try pay credit card', 'want chat understanding question ask live agent well help type respond get pop take long interaction consideration senior use technology much everyone try force technology people consideration everything become dehumanize company care money customer service help anymore try pay credit card', 'want chat understanding question ask live agent well help type respond get pop take long interaction consideration senior use technology much everyone try force technology people consideration everything become dehumanize company care money customer service help anymore try pay credit card']","consideration, chat, agent, human, dehumanize, understanding, question, technology, deaf, impersonal"
287,28,287_eash_grrr_lap_withdrawl,"['eash', 'grrr', 'lap', 'withdrawl', 'fridays', 'indicate', 'inability', 'cent', 'program', 'yes']","['use able make mobile deposit eash time indicate account app add deposit amount make high allow daily deposit last month tell something know work excuse month difficult program line please get right trust money get need time', 'use able make mobile deposit eash time indicate account app add deposit amount make high allow daily deposit last month tell something know work excuse month difficult program line please get right trust money get need time', 'use able make mobile deposit eash time indicate account app add deposit amount make high allow daily deposit last month tell something know work excuse month difficult program line please get right trust money get need time']","eash, grrr, lap, withdrawl, fridays, indicate, inability, cent, program, yes"
288,28,288_suk_alway_apo_damn,"['suk', 'alway', 'apo', 'damn', 'update', 'still', '', '', '', '']","['update suk still', 'update suk still', 'update suk still']","suk, alway, apo, damn, update, still, , , , "
289,28,289_risk_enable_simplicity_biometric,"['risk', 'enable', 'simplicity', 'biometric', 'bio', 'logjn', 'reall', 'smt', 'yoy', 'slider']","['use biometric login unfortunately security risk change', 'use biometric login unfortunately security risk change', 'use biometric login unfortunately security risk change']","risk, enable, simplicity, biometric, bio, logjn, reall, smt, yoy, slider"
290,28,290_intrusively_occasional_assume_weekly,"['intrusively', 'occasional', 'assume', 'weekly', 'laptop', 'obnoxious', 'chore', 'optimize', 'control', 'difficulty']","['attempt log app intrusively ask update almost weekly understand occasional security update control', 'attempt log app intrusively ask update almost weekly understand occasional security update control', 'attempt log app intrusively ask update almost weekly understand occasional security update control']","intrusively, occasional, assume, weekly, laptop, obnoxious, chore, optimize, control, difficulty"
291,28,291_capital_asia_goodbye_incentive,"['capital', 'asia', 'goodbye', 'incentive', 'outsource', 'flat', 'adios', 'bless', 'selfish', 'tschu']","['ever get card outsource info go Asia bad customer service bad interest rate also steal design capital one', 'absolutely wait dump Chase Morgan year honestly save agency yuppie actually make real social value considerable amount money thank parent labourer work last selfish day peace Adios Tschu', 'absolutely wait dump Chase Morgan year honestly save agency yuppie actually make real social value considerable amount money thank parent labourer work last selfish day peace Adios Tschu']","capital, asia, goodbye, incentive, outsource, flat, adios, bless, selfish, tschu"
292,28,292_chase_uphold_transfered_lacking,"['chase', 'uphold', 'transfered', 'lacking', 'wildly', 'strict', 'collection', 'sit', 'deem', 'indian']","['unfortunately year leave fifth third CHASE customer service lock main checking account week one individual transfered could help lead draft never able view account ask week back forth drain ever leave different account notify locked account access SOMEHOW overdrafte refuse remove fee collection', 'unfortunately year leave fifth third CHASE customer service lock main checking account week one individual transfered could help lead draft never able view account ask week back forth drain ever leave different account notify locked account access SOMEHOW overdrafte refuse remove fee collection', 'unfortunately year leave fifth third CHASE customer service lock main checking account week one individual transfered could help lead draft never able view account ask week back forth drain ever leave different account notify locked account access SOMEHOW overdrafte refuse remove fee collection']","chase, uphold, transfered, lacking, wildly, strict, collection, sit, deem, indian"
293,28,293_wednesday_early_sunday_friday,"['wednesday', 'early', 'sunday', 'friday', 'chine', 'ditch', 'paycheck', 'friend', 'guys', 'weekday']","['pay day two early since bank chase friend bank chine get pay wednesday also get pay til morning friday anywhere afternoon', 'pay day two early since bank chase friend bank chine get pay wednesday also get pay til morning friday anywhere afternoon', 'pay day two early since bank chase friend bank chine get pay wednesday also get pay til morning friday anywhere afternoon']","wednesday, early, sunday, friday, chine, ditch, paycheck, friend, guys, weekday"
294,28,294_combatible_exclusively_unsophisticated_cease,"['combatible', 'exclusively', 'unsophisticated', 'cease', 'tempting', 'firm', 'accommodate', 'advantage', 'obsolete', 'cheap']","['think pathetic could use phone banking app app compatible phone advantage get deposit mobile cease upgrade app compatible phone bank another firm buy another phone accommodate app', 'think pathetic could use phone banking app app compatible phone advantage get deposit mobile cease upgrade app compatible phone bank another firm buy another phone accommodate app', 'think pathetic could use phone banking app app compatible phone advantage get deposit mobile cease upgrade app compatible phone bank another firm buy another phone accommodate app']","combatible, exclusively, unsophisticated, cease, tempting, firm, accommodate, advantage, obsolete, cheap"
295,28,295_enroll_dowloade_shuck_kick,"['enroll', 'dowloade', 'shuck', 'kick', 'plz', 'unusable', 'touch', 'smh', 'remain', 'reply']","['App keep crash try enroll', 'App keep crash try enroll', 'App keep crash try enroll']","enroll, dowloade, shuck, kick, plz, unusable, touch, smh, remain, reply"
296,28,296_ito_captain_sem_merge,"['ito', 'captain', 'sem', 'merge', 'away', 'download', 'happy', 'right', 'permission', 'minute']","['download log account Captain one merge', 'download log account Captain one merge', 'download log account Captain one merge']","ito, captain, sem, merge, away, download, happy, right, permission, minute"
297,27,297_failure_authorization_auth_authentication,"['failure', 'authorization', 'auth', 'authentication', 'server', 'hardly', 'occur', 'fail', 'keep', 'submit']","['app keep say authentication failure many problem try sign', 'open keep say authorization failure since new update', 'open keep say authorization failure since new update']","failure, authorization, auth, authentication, server, hardly, occur, fail, keep, submit"
298,27,298_answer_question_lamem_sheeesh,"['answer', 'question', 'lamem', 'sheeesh', 'erica', 'acct', 'julie', 'acess', 'communication', 'claim']","['answer question', 'answer question', 'answer question']","answer, question, lamem, sheeesh, erica, acct, julie, acess, communication, claim"
299,27,299_activate_incomplete_scan_activation,"['activate', 'incomplete', 'scan', 'activation', 'tagging', 'extension', 'dissatisfied', 'clue', 'instruction', 'memory']","['want activate card', 'want activate card', 'want activate card']","activate, incomplete, scan, activation, tagging, extension, dissatisfied, clue, instruction, memory"
300,27,300_dificult_paybill_electric_esl,"['dificult', 'paybill', 'electric', 'esl', 'laziness', 'fcu', 'income', 'greed', 'paperless', 'stellar']","['bank use Chase ESL even small FCU far least optimize app fact app direct web browser transaction account function instead use app bit inexcusable user able complete least function banking app within app without redirect fund develop stellar app seem like corporate greed laziness truly', 'bank use Chase ESL even small FCU far least optimize app fact app direct web browser transaction account function instead use app bit inexcusable user able complete least function banking app within app without redirect fund develop stellar app seem like corporate greed laziness truly', 'bank use Chase ESL even small FCU far least optimize app fact app direct web browser transaction account function instead use app bit inexcusable user able complete least function banking app within app without redirect fund develop stellar app seem like corporate greed laziness truly']","dificult, paybill, electric, esl, laziness, fcu, income, greed, paperless, stellar"
301,27,301_increase_raise_idiot_build,"['increase', 'raise', 'idiot', 'build', 'limit', 'double', 'annual', 'credit', 'bother', 'deny']","['bad credit card ever bother annual fee want charge increase limit year', 'bad credit card ever bother annual fee want charge increase limit year', 'bad credit card ever bother annual fee want charge increase limit year']","increase, raise, idiot, build, limit, double, annual, credit, bother, deny"
302,27,302_informational_mailing_ram_payoff,"['informational', 'mailing', 'ram', 'payoff', 'apple', 'nit', 'concern', 'box', 'smoothly', 'hand']","['app crash click require box input mailing address try request mortgage payoff statement informational purpose', 'app crash click require box input mailing address try request mortgage payoff statement informational purpose', 'app crash click require box input mailing address try request mortgage payoff statement informational purpose']","informational, mailing, ram, payoff, apple, nit, concern, box, smoothly, hand"
303,27,303_sapphire_inconsequential_ldentifye_reserve,"['sapphire', 'inconsequential', 'ldentifye', 'reserve', 'redeem', 'reward', 'combine', 'gawd', 'suckiest', 'deactivate']","['bit annoying call get code combine point onto Sapphire Reserve card inconsequential make hard annoying', 'bit annoying call get code combine point onto Sapphire Reserve card inconsequential make hard annoying', 'bit annoying call get code combine point onto Sapphire Reserve card inconsequential make hard annoying']","sapphire, inconsequential, ldentifye, reserve, redeem, reward, combine, gawd, suckiest, deactivate"
304,27,304_endorsed_mobile_portion_method,"['endorsed', 'mobile', 'portion', 'method', 'deposit', 'front', 'entire', 'capture', 'bmo', 'lie']","['mobile check deposit work', 'sometimes mobile check deposit work portion site available time tell entire process capture front back check leave endorsed check lie around system start work', 'sometimes mobile check deposit work portion site available time tell entire process capture front back check leave endorsed check lie around system start work']","endorsed, mobile, portion, method, deposit, front, entire, capture, bmo, lie"
305,27,305_reboot_husband_factory_round,"['reboot', 'husband', 'factory', 'round', 'antivirus', 'aura', 'finding', 'behave', 'skeptical', 'malware']","['app trash randomly refuse open reboot phone think company much money could invest app junk app still get state open function reboot phone third phone app app ever use behave way', 'Aura antivirus finding malware app nice app little skeptical delete app even get log back whatever', 'Aura antivirus finding malware app nice app little skeptical delete app even get log back whatever']","reboot, husband, factory, round, antivirus, aura, finding, behave, skeptical, malware"
306,27,306_character_remember_sailing_alphanumeric,"['character', 'remember', 'sailing', 'alphanumeric', 'memorize', 'hint', 'frill', 'forbidden', 'symbol', 'foolish']","['app virtually unusable despite remember option still require user enter full password every time log extremely inconvenient especially memorize complex character alphanumeric password symbol', 'app virtually unusable despite remember option still require user enter full password every time log extremely inconvenient especially memorize complex character alphanumeric password symbol', 'app virtually unusable despite remember option still require user enter full password every time log extremely inconvenient especially memorize complex character alphanumeric password symbol']","character, remember, sailing, alphanumeric, memorize, hint, frill, forbidden, symbol, foolish"
307,27,307_employer_sept_mixed_dowm,"['employer', 'sept', 'mixed', 'dowm', 'executive', 'replacement', 'serviceable', 'resolution', 'speak', 'mention']","['bad experience open checking account recently get direct deposit able see transaction anymore ask bank executive get mixed response speak customer care mention return employer due account setup issue week update sept another follow go provide resolution go lose money', 'bad experience open checking account recently get direct deposit able see transaction anymore ask bank executive get mixed response speak customer care mention return employer due account setup issue week update sept another follow go provide resolution go lose money', 'bad experience open checking account recently get direct deposit able see transaction anymore ask bank executive get mixed response speak customer care mention return employer due account setup issue week update sept another follow go provide resolution go lose money']","employer, sept, mixed, dowm, executive, replacement, serviceable, resolution, speak, mention"
308,27,308_wai_wes_pst_night,"['wai', 'wes', 'pst', 'night', 'edt', 'weekend', 'hour', 'vary', 'maintenence', 'line']","['wes line ATM work week end night', 'wes line ATM work week end night', 'wes line ATM work week end night']","wai, wes, pst, night, edt, weekend, hour, vary, maintenence, line"
309,27,309_applicable_imcompatible_accommodate_development,"['applicable', 'imcompatible', 'accommodate', 'development', 'intend', 'ticket', 'troubleshooting', 'compatible', 'opinion', 'entill']","['everything fine decide phone worth update tell get update phone great go pay opinion problem app development believe app update applicable mobile device', 'everything fine decide phone worth update tell get update phone great go pay opinion problem app development believe app update applicable mobile device', 'everything fine decide phone worth update tell get update phone great go pay opinion problem app development believe app update applicable mobile device']","applicable, imcompatible, accommodate, development, intend, ticket, troubleshooting, compatible, opinion, entill"
310,27,310_airline_surprise_dissapeare_fricken,"['airline', 'surprise', 'dissapeare', 'fricken', 'ollo', 'agressive', 'versus', 'unllocked', 'amateur', 'passive']","['terrible customer service automated payment dissapeare passive agressive wait min supervisor amateur versus Ollo couple month later problem block card account say want buy airline block call card say unllocked airline try couple time give bad credit card company still lock check pathetic', 'terrible customer service automated payment dissapeare passive agressive wait min supervisor amateur versus Ollo couple month later problem block card account say want buy airline block call card say unllocked airline try couple time give bad credit card company still lock check pathetic', 'terrible customer service automated payment dissapeare passive agressive wait min supervisor amateur versus Ollo couple month later problem block card account say want buy airline block call card say unllocked airline try couple time give bad credit card company still lock check pathetic']","airline, surprise, dissapeare, fricken, ollo, agressive, versus, unllocked, amateur, passive"
311,27,311_depot_cvv_mange_dangerous,"['depot', 'cvv', 'mange', 'dangerous', 'onboard', 'country', 'strand', 'risk', 'international', 'ssn']","['want use app manage Home Depot store card issue Citi another store card open however app let register Home Depot card info correct card number cvv ssn tell something wrong well', 'want use app manage Home Depot store card issue Citi another store card open however app let register Home Depot card info correct card number cvv ssn tell something wrong well', 'want use app manage Home Depot store card issue Citi another store card open however app let register Home Depot card info correct card number cvv ssn tell something wrong well']","depot, cvv, mange, dangerous, onboard, country, strand, risk, international, ssn"
312,27,312_usaa_rearview_flawless_reorder,"['usaa', 'rearview', 'flawless', 'reorder', 'entity', 'hungry', 'gps', 'ongoing', 'greedy', 'important']","['Edit USAA require location turn order make bank transfer log system need know gps location USAA become another greedy information hungry entity fix app Edit bug app lock constantly close', 'Edit USAA require location turn order make bank transfer log system need know gps location USAA become another greedy information hungry entity fix app Edit bug app lock constantly close', 'Edit USAA require location turn order make bank transfer log system need know gps location USAA become another greedy information hungry entity fix app Edit bug app lock constantly close']","usaa, rearview, flawless, reorder, entity, hungry, gps, ongoing, greedy, important"
313,27,313_alien_guard_residency_standing,"['alien', 'guard', 'residency', 'standing', 'country', 'creditor', 'national', 'locked', 'lock', 'american']","['crazy company approve lock card cuz address supposedly match alien outside country tell prove live want copy bank statement bill like reason someone another country ask identify creditor really use american people office really well job fail company', 'crazy company approve lock card cuz address supposedly match alien outside country tell prove live want copy bank statement bill like reason someone another country ask identify creditor really use american people office really well job fail company', 'crazy company approve lock card cuz address supposedly match alien outside country tell prove live want copy bank statement bill like reason someone another country ask identify creditor really use american people office really well job fail company']","alien, guard, residency, standing, country, creditor, national, locked, lock, american"
314,27,314_gross_newsflash_keybank_discrimination,"['gross', 'newsflash', 'keybank', 'discrimination', 'compatible', 'device', 'economy', 'decently', 'class', 'compatibility']","['use app year without major issue app even open say compatible device sudden app compatible know update make right make app available certain device purchase new phone use keybank app Newsflash Keybank customer still use old device hopefully fix problem inconvenience', 'use app year without major issue app even open say compatible device sudden app compatible know update make right make app available certain device purchase new phone use keybank app Newsflash Keybank customer still use old device hopefully fix problem inconvenience', 'use app year without major issue app even open say compatible device sudden app compatible know update make right make app available certain device purchase new phone use keybank app Newsflash Keybank customer still use old device hopefully fix problem inconvenience']","gross, newsflash, keybank, discrimination, compatible, device, economy, decently, class, compatibility"
315,27,315_buy_jus_rich_kid,"['buy', 'jus', 'rich', 'kid', 'yesterday', 'old', 'okay', 'sense', 'key', 'super']","['buy new phone use app', 'buy new phone use app', 'buy new phone use app']","buy, jus, rich, kid, yesterday, old, okay, sense, key, super"
316,27,316_abdroid_model_compatible_galaxy,"['abdroid', 'model', 'compatible', 'galaxy', 'believe', 'old', 'bother', 'android', 'samsung', 'run']","['android bother update compatible abdroid', 'android bother update compatible abdroid', 'android bother update compatible abdroid']","abdroid, model, compatible, galaxy, believe, old, bother, android, samsung, run"
317,27,317_drop_misunderstanding_maxe_bail,"['drop', 'misunderstanding', 'maxe', 'bail', 'promise', 'representatives', 'fly', 'joint', 'compromise', 'determined']","['terrible company destroy credit night drop point misunderstanding result late payment year maxe card owe grand learn hard way think hit back stop try reach lmao', 'terrible company destroy credit night drop point misunderstanding result late payment year maxe card owe grand learn hard way think hit back stop try reach lmao', 'terrible company destroy credit night drop point misunderstanding result late payment year maxe card owe grand learn hard way think hit back stop try reach lmao']","drop, misunderstanding, maxe, bail, promise, representatives, fly, joint, compromise, determined"
318,27,318_errors_dice_retry_present,"['errors', 'dice', 'retry', 'present', 'generic', 'unexpected', 'sorry', 'system', 'restart', 'disconnect']","['last week app open say sorry something go wrong please close app try really like app super frustrating restart app restart phone Ultra instal reinstall nothing change still get generic error see update download dice', 'last week app open say sorry something go wrong please close app try really like app super frustrating restart app restart phone Ultra instal reinstall nothing change still get generic error see update download dice', 'last week app open say sorry something go wrong please close app try really like app super frustrating restart app restart phone Ultra instal reinstall nothing change still get generic error see update download dice']","errors, dice, retry, present, generic, unexpected, sorry, system, restart, disconnect"
319,27,319_reject_routing_programming_copy,"['reject', 'routing', 'programming', 'copy', 'clueless', 'blurry', 'incorrect', 'ach', 'occasionally', 'count']","['try use routing account number app ach direct deposit payment reject incorrect routing number stupid app wait long get money', 'try use routing account number app ach direct deposit payment reject incorrect routing number stupid app wait long get money', 'try use routing account number app ach direct deposit payment reject incorrect routing number stupid app wait long get money']","reject, routing, programming, copy, clueless, blurry, incorrect, ach, occasionally, count"
320,27,320_discovery_purposely_beginning_persist,"['discovery', 'purposely', 'beginning', 'persist', 'instantly', 'downhill', 'intrusive', 'previous', 'respond', 'stick']","['people Discovery suck constantly update app constantly move app back page mobile phone', 'people Discovery suck constantly update app constantly move app back page mobile phone', 'people Discovery suck constantly update app constantly move app back page mobile phone']","discovery, purposely, beginning, persist, instantly, downhill, intrusive, previous, respond, stick"
321,27,321_overdraft_draft_sandby_deduction,"['overdraft', 'draft', 'sandby', 'deduction', 'protection', 'clever', 'protect', 'temu', 'boise', 'forgiveness']","['Overdraft protection protect overdraft', 'Overdraft protection protect overdraft', 'Overdraft protection protect overdraft']","overdraft, draft, sandby, deduction, protection, clever, protect, temu, boise, forgiveness"
322,27,322_yes_core_confirmation_rearrange,"['yes', 'core', 'confirmation', 'rearrange', 'memo', 'kiss', 'overview', 'stuff', 'clicking', 'solid']","['way many click basic stuff like deposit check clunky ask twice really want stuff yes yes App need work keep update unfortunately get well lot change improvement still lot problem app especially use zelle mobile app use memo certain character use different web app experience mobile app experience', 'please use KISS method recent update require click confirmation please make simple interaction require confirmation continue scroll clicking ensure really want already make selection allow account rearrange account overview screen Less ad sign please add Dark Theme Core app solid appreciate thank', 'please use KISS method recent update require click confirmation please make simple interaction require confirmation continue scroll clicking ensure really want already make selection allow account rearrange account overview screen Less ad sign please add Dark Theme Core app solid appreciate thank']","yes, core, confirmation, rearrange, memo, kiss, overview, stuff, clicking, solid"
323,27,323_javascript_pol_string_interfere,"['javascript', 'pol', 'string', 'interfere', 'google', 'effect', 'connect', 'morning', 'tomorrow', 'count']","['let open time talk string JavaScript', 'let open time talk string JavaScript', 'let open time talk string JavaScript']","javascript, pol, string, interfere, google, effect, connect, morning, tomorrow, count"
324,26,324_death_macintosh_torture_years,"['death', 'macintosh', 'torture', 'years', 'entirety', 'ummm', 'rocket', 'surgery', 'gosh', 'circle']","['update review insist way gosh app bad every time make improvement break something rocket surgery guy since last update get push notification clear cache uninstalled reinstalled reset phone shut individual alert turn back really fire immediately everyone even remotely relate app garbage go year', 'update review insist way gosh app bad every time make improvement break something rocket surgery guy since last update get push notification clear cache uninstalled reinstalled reset phone shut individual alert turn back really fire immediately everyone even remotely relate app garbage go year', 'update review insist way gosh app bad every time make improvement break something rocket surgery guy since last update get push notification clear cache uninstalled reinstalled reset phone shut individual alert turn back really fire immediately everyone even remotely relate app garbage go year']","death, macintosh, torture, years, entirety, ummm, rocket, surgery, gosh, circle"
325,26,325_distribute_stock_greet_context,"['distribute', 'stock', 'greet', 'context', 'merril', 'reappear', 'unresponsive', 'ancient', 'maximum', 'trading']","['take account right sure message greet every time mess chart stock maximum year daily change see let use VPN explanation sometimes stock share disappear reappear day two make tracking asset difficult still ancient account close year ago list make confirm back snapshot', 'take account right sure message greet every time mess chart stock maximum year daily change see let use VPN explanation sometimes stock share disappear reappear day two make tracking asset difficult still ancient account close year ago list make confirm back snapshot', 'take account right sure message greet every time mess chart stock maximum year daily change see let use VPN explanation sometimes stock share disappear reappear day two make tracking asset difficult still ancient account close year ago list make confirm back snapshot']","distribute, stock, greet, context, merril, reappear, unresponsive, ancient, maximum, trading"
326,26,326_corrupt_partition_segment_news,"['corrupt', 'partition', 'segment', 'news', 'interface', 'color', 'various', 'operability', 'sporadic', 'reinstallation']","['App corrupt', 'App corrupt', 'App corrupt']","corrupt, partition, segment, news, interface, color, various, operability, sporadic, reinstallation"
327,26,327_technical_difficulty_descriptive_threw,"['technical', 'difficulty', 'descriptive', 'threw', 'savvy', 'hurdle', 'tooo', 'hoop', 'kind', 'jump']","['always technical issue', 'always technical issue', 'always technical issue']","technical, difficulty, descriptive, threw, savvy, hurdle, tooo, hoop, kind, jump"
328,26,328_literal_four_share_prompt,"['literal', 'four', 'share', 'prompt', 'server', 'connection', 'three', 'everyone', 'week', 'maybe']","['literal week', 'literal week', 'literal week']","literal, four, share, prompt, server, connection, three, everyone, week, maybe"
329,26,329_substandard_took_pinch_perfect,"['substandard', 'took', 'pinch', 'perfect', 'penny', 'remove', 'bug', 'particular', 'fix', 'grateful']","['took forever change substandard app', 'took forever change substandard app', 'took forever change substandard app']","substandard, took, pinch, perfect, penny, remove, bug, particular, fix, grateful"
330,26,330_glorious_demand_allowance_mobil,"['glorious', 'demand', 'allowance', 'mobil', 'city', 'badly', 'responsive', 'virtually', 'loose', 'rate']","['depend chase app move Chase bank town big fan app right demand update work use app lock update demand use app banking guess open account another bank location city shame make allowance user get update work UNHAPPY', 'depend chase app move Chase bank town big fan app right demand update work use app lock update demand use app banking guess open account another bank location city shame make allowance user get update work UNHAPPY', 'depend chase app move Chase bank town big fan app right demand update work use app lock update demand use app banking guess open account another bank location city shame make allowance user get update work UNHAPPY']","glorious, demand, allowance, mobil, city, badly, responsive, virtually, loose, rate"
331,26,331_dependable_irratate_reliable_midiocre,"['dependable', 'irratate', 'reliable', 'midiocre', 'unreliable', 'convinient', 'roum', 'nunber', 'complecate', 'inconsistent']","['never dependable', 'never dependable', 'never dependable']","dependable, irratate, reliable, midiocre, unreliable, convinient, roum, nunber, complecate, inconsistent"
332,26,332_sundays_gobto_hsbc_untill,"['sundays', 'gobto', 'hsbc', 'untill', 'loggin', 'evening', 'whenever', 'emergency', 'per', 'free']","['bad banking app ever especially Sundays use banking app untill let able use banking app WHENEVER', 'bad banking app ever especially Sundays use banking app untill let able use banking app WHENEVER', 'bad banking app ever especially Sundays use banking app untill let able use banking app WHENEVER']","sundays, gobto, hsbc, untill, loggin, evening, whenever, emergency, per, free"
333,26,333_region_regions_compatability_custome,"['region', 'regions', 'compatability', 'custome', 'body', 'competitor', 'progress', 'acceptable', 'integrate', 'brand']","['look like region give app long work many customer phone anymore since last update buy new phone use app region customer year always use app guess time change bank', 'look like region give app long work many customer phone anymore since last update buy new phone use app region customer year always use app guess time change bank', 'look like region give app long work many customer phone anymore since last update buy new phone use app region customer year always use app guess time change bank']","region, regions, compatability, custome, body, competitor, progress, acceptable, integrate, brand"
334,26,334_misclick_spam_europe_spiral,"['misclick', 'spam', 'europe', 'spiral', 'intentional', 'attitude', 'officer', 'callback', 'incorrectly', 'delay']","['Wanna check bank bad intentional delay misclick spam log click account wait app delay spam misclick spam pop beyond dozen time happen shame Bank', 'Wanna check bank bad intentional delay misclick spam log click account wait app delay spam misclick spam pop beyond dozen time happen shame Bank', 'Wanna check bank bad intentional delay misclick spam log click account wait app delay spam misclick spam pop beyond dozen time happen shame Bank']","misclick, spam, europe, spiral, intentional, attitude, officer, callback, incorrectly, delay"
335,26,335_cach_reinstalled_recognition_updating,"['cach', 'reinstalled', 'recognition', 'updating', 'uninstalled', 'fingerprint', 'biometric', 'scan', 'sad', 'yes']","['turn biometric please least day force stop clear cach update uninstalled reinstalled even get new phone thing happen also next impossible login', 'turn biometric please least day force stop clear cach update uninstalled reinstalled even get new phone thing happen also next impossible login', 'turn biometric please least day force stop clear cach update uninstalled reinstalled even get new phone thing happen also next impossible login']","cach, reinstalled, recognition, updating, uninstalled, fingerprint, biometric, scan, sad, yes"
336,26,336_advertising_splash_upon_launch,"['advertising', 'splash', 'upon', 'launch', 'totally', 'late', 'crash', 'everytimw', 'unusable', 'whenever']","['late update crash advertising message lock app totally unusable', 'late update crash advertising message lock app totally unusable', 'late update crash advertising message lock app totally unusable']","advertising, splash, upon, launch, totally, late, crash, everytimw, unusable, whenever"
337,26,337_calculator_mypay_wake_specific,"['calculator', 'mypay', 'wake', 'specific', 'individually', 'efficient', 'consume', 'harsh', 'dive', 'flea']","['app mostly currently need way mark notice read get behind like see rest number screen notice individually make alert away annoying time consume Edit wish search well plain work look specific amount type amount look specific company type nope get well', 'app mostly currently need way mark notice read get behind like see rest number screen notice individually make alert away annoying time consume Edit wish search well plain work look specific amount type amount look specific company type nope get well', 'app mostly currently need way mark notice read get behind like see rest number screen notice individually make alert away annoying time consume Edit wish search well plain work look specific amount type amount look specific company type nope get well']","calculator, mypay, wake, specific, individually, efficient, consume, harsh, dive, flea"
