Review,Date,Stars,Cleaned Reviews
Not sure what going on with app I having been a customer long but I having been able to use the app I only been a customer for a month that a little disappointed hopeful it get fix soon,2024-07-24,1,sure go app customer long able use app customer month little disappointed hopeful get fix soon
Never sends notifications for things like overdraft,2024-07-24,1,never send notification thing like overdraft
1124pm I have to come on here to express my opinion.... F#$%... f u,2024-07-24,1,come express opinion
"Garbage, constantly issues with the app and this bank. Worst bank in America",2024-07-20,1,garbage constantly issue app bank bad bank America
why would you schedule maintenance on a Friday morning when everyone is trying to check to see their paycheck cleared?,2024-07-19,1,would schedule maintenance Friday morning everyone try check see paycheck clear
"Why pay extra to get my deposit 2 days earlier? From TD bank: ""Do you need to cover pending payments or emergency expenses before the next business day? At TD Bank we offer Fast Funds, which can help you keep your cash flowing with instant access to eligible check deposits. * For a nominal fee, Fast Funds gives you access to your deposited money more quickly. Update 7/19/24: cannot access app or website due to TD outage. Cannot check on deposit or ise my card.",2024-07-19,1,pay extra get deposit day early bank need cover pende payment emergency expense next business day Bank offer Fast Funds help keep cash flow instant access eligible check deposit nominal fee Fast Funds give access deposited money quickly update access app website due outage check deposit ise card
Always having issues at the wrong time. I am ready to be done with TD on top of the terrrrrible customer service,2024-07-19,1,always issue wrong time ready top terrrrrible customer service
"Recently opened an account with TD bank. Noticing that's been a huge mistake... here it is payday friday and I get sorry for the inconvenience app unavailable. The funding process took all week... should have seen a problem which honestly I did. Immediately funds taken out of my bank, yet it took 4 business days to show up in my td bank account. Typical with new accounts however their 24/7 customer service line is unavailable and the mobile app is unavailable???? um excuse me? I got bills???????",2024-07-19,1,recently open account bank notice huge mistake payday friday get sorry inconvenience app unavailable funding process take week see problem honestly immediately fund take bank yet take business day show bank account typical new account however customer service line unavailable mobile app unavailable excuse get bill
"Terrible bank to work with. What other banks like capital one,bofa,chase do in seconds requires so much effort and pain",2024-07-19,1,terrible bank work bank like capital one bofa chase second require much effort pain
I've been with TD Bank for a little over 3 years after being with them this long had I not known to go to my TD online account I would have never known that in my account was closed without my consent they closed my account for no reason and call them and then they tell me that they're terribly sorry that we had to end the relationship well that puts a damper on everything and I really feel like I would never recommend somebody to come to this bank if they were going to do this to me,2024-07-13,1,Bank little year long know online account would never know account close without consent close account reason call tell terribly sorry end relationship well put damper everything really feel like would never recommend somebody come bank go
Takes forever to load and open. Biometrics unavailable. So many glitches. I love tdbank but I hate this app,2024-07-10,1,take forever load open biometric unavailable many glitch love tdbank hate app
The worst bank on earth,2024-07-09,1,bad bank earth
I never have any problems with TD bank 🏦. Until now don't let me do my Zelle transaction. I have to disconnect the app and start everything again and no want try to help you as before covid you have to do are you own terrible service.,2024-07-07,1,never problem bank let Zelle transaction disconnect app start everything want try help covid terrible service
The new app update is both unhelpful and bug ridden. Very frustrating.,2024-07-06,1,new app update unhelpful bug ride frustrating
I can't even use my TD Bank app to get money out,2024-07-02,1,even use Bank app get money
"Take too long to get into the other account venmo and Cash App. Send it true time. Get with it, zelle",2024-06-30,1,take long get account venmo Cash App send true time get zelle
This app used to work fine but now it never loads properly. I have to close it and reopen it 2 or 3 times to use it. Every time.,2024-06-30,1,app use work fine never load properly close reopen time use every time
hate,2024-06-30,1,hate
"It will not work, it says information does not match.",2024-06-28,1,work say information match
You messup people phone. I can't even check my statements now. Who cares about all those updates crazy things. You don't give it danm about your customers.,2024-06-27,1,messup people phone even check statement care update crazy thing give danm customer
This is so bad I am considering doing business with a competing bank. I have had an accounts with TD for 10yrs or more. It is that bad.,2024-06-27,1,bad consider business compete bank account bad
"DONT USE TD BANK!! THEY ARE SHYSTERS, Won't let me pay my card off and decided to charge me an interest fee the next day.",2024-06-25,1,dont use BANK shyster let pay card decide charge interest fee next day
"Btw fees, being treated as a less than intellectually capable individual & ultimately paying to keep my accounts open. I spent more trying to be a customer then actually being one. It's not a neighborly care team. It's all advertising & marketing. Teller's judging you based on your account history, representatives coercing you that you need to put more money in to reap more benefits & just general lack of customer respect. The only other company to be in the same ballpark is SallieMae/navient.",2024-06-24,1,btw fee treat less intellectually capable individual ultimately pay keep account open spend try customer actually one neighborly care team advertising marketing Teller judge base account history representative coerce need put money reap benefit general lack customer respect company ballpark SallieMae navient
My zelle not working,2024-06-21,1,zelle work
Could not log into app.,2024-06-20,1,could log app
This TDBank app does not list a setting for depositing a check. No opportunity to Deposit.,2024-06-19,1,TDBank app list setting deposit check opportunity Deposit
"worst banking app, cant find routing number, now looking for a option to activate card and i don't even see my card.",2024-06-17,1,bad banking app find routing number look option activate card even see card
it sucks,2024-06-14,1,suck
"EDIT 6/13/24 The app does not detect the Chrome or Edge pw managers or the Microsoft authenticator app. It never offers the option to fill in the login info. easier to just access tdbank through the browser on my phone or computer, where the password manager works and i don't have to look up the login info. This has been going on for years.",2024-06-13,1,EDIT app detect Chrome Edge manager Microsoft authenticator app never offer option fill login info easy access tdbank browser phone computer password manager work look login info go year
"I never write reviews but an app that just seems to want to waste my time and makes me mad. Is it going to work this time? Is it going to disable biometric login? Is it going to tell me that it's not compatible with my pixel 6a? I know why it's causing me trouble, but lets be clear here. I have an android instead of an iphone because I want to own my device and have some sort of control over it. If TD wants to keep causing problems they are just saying I should find a new bank.",2024-06-06,1,never write review app seem want waste time make mad go work time go disable biometric login go tell compatible pixel know cause trouble let clear android instead iphone want device sort control want keep cause problem say find new bank
biometric log in is broken.,2025-05-23,2,biometric log break
"every single time i try to transfer between my accounts, I get an error. terrible banking app",2025-05-23,2,every single time try transfer account get error terrible banking app
they sucks most time can't wait to change my bank,2025-05-23,2,suck time wait change bank
HOW YOU GONNA BE A BANKING APP AND GO DOWN FOR MAINTENANCE I NEED TO SEE MY DAMN MONEY,2025-05-21,2,GONNA banking APP maintenance need see damn money
biometric not working after updating the app,2025-05-20,2,biometric work update app
biometric login doesn't work on a BRAND NEW PHONE,2025-05-20,2,biometric login work brand new phone
"Worst bank in the US. Closed my account without warning because of a double endorsed check (100% legal) and withholding more than $3200 of my money, and refuse to release. Shameless stealing.",2025-05-20,2,bad bank close account without warn double endorse check legal withhold money refuse release shameless stealing
you want me to update but my phone won't accept this update so now I can't even open my account thank you so much for making online banking such a bad experience,2025-05-19,2,want update phone accept update even open account thank much make online banking bad experience
"Every time I try to take the picture of the check I'm depositing it says ""use a dark background"". I'm using a navy background. Since when is NAVY not dark?! Fix your app!",2025-05-18,2,every time try take picture check deposit say use dark background use navy background since NAVY dark fix app
"one of the worst banks on the market pushing false narratives ""set up this with our 3rd party to resolve this but in the meantime time we will take as much of your money out of your account as we please"" this bank is a joke and should have more then the most recent class action lawsuits that's happended 0-10 would not recommend keep your money in a shoe box under your bed would be safer",2025-05-16,2,one bad bank market push false narrative set party resolve meantime time take much money account please bank joke recent class action lawsuit happende would recommend keep money shoe box bed would safe
"cant send Zelle payment because bottom part of screen is blocking me from clicking on confirm recipient (has another menu in front of place to click) update on 5/15/2025 still cant send Zelle. I received an email saying ""they will forward your feedback to our Product team in order to provide you the experience you come to expect. Thanks! - JG"" Nothing has been corrected!",2025-05-15,2,send Zelle payment bottom part screen block click confirm recipient another menu front place click update still send Zelle receive email say forward feedback product team order provide experience come expect thank nothing correct
I just changed PW and it want to change again. Now it doesn't recognize my User Name and SSN! Wasting my time!,2025-05-14,2,change want change recognize User Name SSN waste time
Would not install.,2025-05-14,2,would install
dark mode makes all the text invisible and I can't read any balances. The option to toggle dark mode does not exist like it does on iPhone. This needs to be fixed now!,2025-05-14,2,dark mode make text invisible read balance option toggle dark mode exist like iPhone need fix
won't let me sign in,2025-05-12,2,let sign
the mobile check won't accept checks. always says the amount doesn't match. This is not true. The app hasn't worked for many months and the bank told me in person the app has issues.,2025-05-09,2,mobile check accept check always say amount match true app work many month bank tell person app issue
I don't Trust TD bank and it's products.,2025-05-08,2,trust bank product
Tried for a week still can't get it to download? This is really working?,2025-05-05,2,try week still get download really work
This new upgrade will now force me to buy a new phone for the privilege of using it....in the name of giving me a better customer experience! TD America's most Inconsiderate bank.,2025-05-03,2,new upgrade force buy new phone privilege use name give well customer experience America Inconsiderate bank
Can't get into my account Can't get into my account,2025-04-30,2,get account get account
this bank app updates too often and demands for another app to be deleted in order to update 💔🤬,2025-04-30,2,bank app update often demand another app delete order update
not available too often,2025-04-27,2,available often
do not use this bank,2025-04-27,2,use bank
"this app has become terrible to use for the simplest things. trying to take a photo of a check to deposit may log you out and force you to RESTART your phone just to try and log in again. calling customer service thru the app no longer works if your location for the app is turned off. Use another bank, the harassment for cash deposits alone is enough to close your accounts. my experience has ENDED MEANS I WILL NOT RETURN.",2025-04-25,2,app become terrible use simple thing try take photo check deposit may log force restart phone try log call customer service thru app long work location app turn use another bank harassment cash deposit alone enough close account experience ENDED mean return
"my husband and I both have an account with them. we're searching for other options. we were told there wasn't a maintenance fee. yet $25 a month comes out of the account and it literally says ""maintenance fee"". before this, the highest maintenance fee I had was $12 and I thought that was a rip off. these guys basically told the other bank to hold their beer.",2025-04-24,2,husband account search option tell maintenance fee yet month come account literally say maintenance fee high maintenance fee think rip guy basically tell bank hold beer
usually works fine. last 2 days I haven't been able to login online or on the app.,2025-04-21,2,usually work fine last day able login online app
Go to open hit and all it doesn't crash.,2025-04-21,2,open hit crash
"not the app as much as the bank, itself - specifically their Zelle amounts of 1500 per day, which if I really stretch my mind, can remember when that was a lot of money -- I can Zelle up to 10k at Chase - why can't TD???",2025-04-20,2,app much bank specifically Zelle amount per day really stretch mind remember lot money Zelle Chase
worst bank ever TD Bank sucks,2025-04-16,2,bad bank ever Bank suck
Fix your app!,2025-04-16,2,fix app
stop tracking please.,2025-04-15,2,stop track please
"Not a good experience at all. The branches are sparse which wouldn't be an issue if I wasn't forced to go to a branch just to get a voided check for my direct deposit, then after repeating myself multiple times still being given a direct deposit form which I could have just printed from the internet and I had already communicated wouldn't be sufficient for my work, ultimately a waste of time and considering the banks poor reputation for customer service these red flags were enough.",2025-04-15,2,good experience branch sparse would issue force branch get voided check direct deposit repeat multiple time still give direct deposit form could print internet already communicate would sufficient work ultimately waste time consider bank poor reputation customer service red flag enough
had to download as phone number not working when trying to activate card,2025-04-13,2,download phone number work try activate card
Idk what happened but since around the time i had to change my cell number the TD bank apk stopped working for me. It keeps logging me out for security reasons even after i went into a TD branch to do an in person verification. It was much easier to access accounts through the apk rather than having to access accounts by signing in online through a browser. All of my other apks function well and i have over 100 on my screen.,2025-04-12,2,idk happen since around time change cell number bank apk stop work keep log security reason even go branch person verification much easy access account apk rather access account sign online browser apks function well screen
td bank isn't the bank they don't care for there customers everything has to do with money if u can't pay be prepare for the fees capital one offers way more comfort then td bank they just a bunch of thieves,2025-04-12,2,bank bank care customer everything money pay prepare fee capital one offer way comfort bank bunch thief
I AM A PERSON WITH 153 IQ. APP IS VERY REDUNDANT,2025-04-11,2,person APP REDUNDANT
keeps stopping,2025-04-07,2,keep stop
why do u keep logging me out,2025-04-05,2,keep log
td Bank has to the worst way to send zelle because it takes about 7 days to go through when you zelle someone is for them to get the money instantly not 7days later td sucks,2025-04-02,2,Bank bad way send zelle take day zelle someone get money instantly later suck
I have been trying for OVER ONE YEAR to change my phone number on this app. I have changed it at my bank location but it will still not accept it on my app. I CANNOT FIND MENU on my app either as it doesn't show up. Worst bank app I've ever seen - totally useless. Even Customer Service couldn't find a place on the app to do it.,2025-04-01,2,try one year change phone number app change bank location still accept app CANNOT FIND MENU app either show bad bank app ever see totally useless even Customer Service could find place app
I cannot log in with this app. When I want to review my account I have to login using web browser only. No issues with username or password there. This app just says it doesn't match so it's useless.,2025-03-31,2,log app want review account login use web browser issue username password app say match useless
Can't make a mobile deposit,2025-03-31,2,make mobile deposit
"since the update, I am unable to use the fingerprint scan feature. I have to manually enter the password each time.",2025-03-30,2,since update unable use fingerprint scan feature manually enter password time
Years later you will not let me log in because you will not change my phone number online. What is the point of having the option to change your number when you do not actually change it!? Then you have the audacity to tell people to go to the bank to verify that you are who you say you are! I am willing to find another bank over this nonsense. Remove the option to change your number online if you will leave the number there anyways!,2025-03-27,2,year later let log change phone number online point option change number actually change audacity tell people bank verify say willing find another bank nonsense remove option change number online leave number anyway
TD bank is trash they don't respect people credit,2025-03-26,2,bank trash respect people credit
bad app because I am confused.,2025-03-25,2,bad app confused
my phone isn't compatible with the new app. Galaxy S7 does not apear to have the option to upgrade to OS 9 as app developer suggests. I guess TD is forcing me to biy a new phone?,2025-03-24,2,phone compatible new app galaxy apear option upgrade app developer suggest guess force biy new phone
app isn't working again and I need to check my accounts,2025-03-24,2,app work need check account
"They do not allow biometric login on my phone anymore because I have updated to a newer version of Android than the phone manufacturer officially supports. Apparently TD thinks that using outdated, vulnerable software is better than updating your software by hand. Sure, they can make the excuse that they can't guarantee the reliability and security of custom software, but I guarantee outdated software, which they do support, is also not secure.",2025-03-23,2,allow biometric login phone anymore update new version Android phone manufacturer officially support apparently think use outdate vulnerable software well update software hand sure make excuse guarantee reliability security custom software guarantee outdated software support also secure
"App has consistently not worked correctly since the late 2024/early 2025 update. Login screen regularly freezes up. Sometimes uninstall and reinstall fixes the issue temporarily, but I shouldn't have to redownload an app each time I want to use it. Y'all make way too much money to put out such a poor quality app.",2025-03-23,2,App consistently work correctly since late early update login screen regularly freeze sometimes uninstall reinstall fix issue temporarily redownload app time want use make way much money put poor quality app
don't use this bank ever. they purposely ruined my credit.,2025-03-22,2,use bank ever purposely ruin credit
i give td no stars your overdraft sucks like 50 bucks is going to cover your bills when you over draft no,2025-03-22,2,give star overdraft suck like buck go cover bill draft
"this app sucks. just like TD bank. keeps saying my Gmail account isn't a valid email. thanks for nothing, Americas most inconvenient bank",2025-03-21,2,app suck like bank keep say Gmail account valid email thank nothing Americas inconvenient bank
I've tried logging on to my account many times but seems like there's always a problem. i gave up,2025-03-21,2,try log account many time seem like always problem give
you won't let me change my address or telephone number to send me a security code & unlicensed my account. I moved & there is no td branch for me to go to to do this.,2025-03-19,2,let change address telephone number send security code unlicense account move branch
"This app and bank are awful. Ever since they got charged with money laundering and fined 3 billion dollars they service has been awful, the fees have doubled and the physical locations are disgusting with trash every where and a single employee. They increased the fee for a basic checking account from $4.99 a month to $9.99 with zero notification. The customer should not have to pay for your poor business decisions. You were found guilty of money laundering, why am I paying for it?",2025-03-18,2,app bank awful ever since get charge money laundering fine billion dollar service awful fee double physical location disgusting trash every single employee increase fee basic checking account month zero notification customer pay poor business decision find guilty money laundering pay
Can't even transfer between accounts. Keeps saying I don't have accounts to transfer between and I have 3 of them,2025-03-17,2,even transfer account keep say account transfer
"don't deposit check from mobile app , they put on hold for 7 day but they not clear that 20 or 25 days",2025-03-17,2,deposit check mobile app put hold day clear day
Don't want to install app just to activate card,2025-03-16,2,want install app activate card
they raised the maintenance fee's almost double.,2025-03-11,2,raise maintenance fee almost double
"I have reported the 2fa problem to TD Bank for more than 5 years and it still hasn't changed. I'm trying to purchase a flight home, but I literally can't because of 2fa. unless TD wants to pay for an international phone plan for me, then they need to find an alternative for this bulllshit 2fa. I do not want a phone. I do not want to carry a phone on me at all times. it is insane that they are holding my money hostage and keeping me stuck in a foreign country because I can't recieve a text.",2025-03-11,2,report problem Bank year still change try purchase flight home literally unless want pay international phone plan need find alternative bulllshit want phone want carry phone time insane hold money hostage keep stuck foreign country recieve text
Ive read alot of the reviews and none positive. The phone I initially loaded the online app on is broken and not operationa. The app sends am error and asks for verification number but sends that number to the wrong phone to the phone that doesn't work Have no way to access my account,2025-03-10,2,read alot review none positive phone initially load online app break operationa app send error ask verification number send number wrong phone phone work way access account
Does not work. Keeps closing. Fix it.,2025-03-10,2,work keep close fix
Awful app. Keeps crashing.,2025-03-10,2,awful app Keeps crash
Terrible. But I think it is more the phone than the app,2025-03-07,2,terrible think phone app
Getting pillaged my late fees becaise they dont understand how to deactivate a credit card. Initially i called to confirm it was canceled and they said it was. Then i had them verify when this card waa actually expired. Whats that? It haant expired???? But you juat told me its not active. Get with it.,2025-03-07,2,get pillage late fee becaise understand deactivate credit card initially call confirm cancel say verify card waa actually expire haant expire juat tell active get
My device isn't compatible for this app version anymore? Come on!,2025-03-04,2,device compatible app version anymore come
Takes forever to login.,2025-03-02,2,take forever login
"Nothing has been changed, NOT RECOMMENDED SO MANY TECHNICAL ISSUES with this app and a bank in GENERAL",2025-02-28,2,nothing change recommend MANY TECHNICAL issue app bank GENERAL
I can't sign into my account with my fingerprint anymore and it seems that when I insert my password there is an error I hope this gets fixed.,2025-02-26,2,sign account fingerprint anymore seem insert password error hope get fix
"SUCKS, use to be good, now when you sign in it will call or text a code and when you go put the code in there is NO place to put it and it makes you sign in again and REPEAT everything else and you get NOWHERE.",2025-02-22,2,suck use good sign call text code put code place put make sign repeat everything else get NOWHERE
Not a good experience! If you're traveling abroad might not be able to use the app at all!,2025-02-21,2,good experience travel abroad might able use app
I am having trouble with this update. Repeatedly I've tried to lookup my routing number and account number but the app will close instead of showing the result.,2025-02-19,2,trouble update repeatedly try lookup route number account number app close instead show result
"Multiple issues with the app. For one, it doesn't respect the ""default account"" as the online webpage does. So when you make a bill payment, it is easy to overdraft your account by accident (definitely a $ making scheme). You can't make principal mortgage payments through the app. You must call in/email then each time you transfer $ toward your mortgage. Furthermore, if you have an unlocked bootloader, but are not rooted, they punish you with disabling fingerprint login.",2025-02-15,2,multiple issue app one respect default account online webpage make bill payment easy overdraft account accident definitely making scheme make principal mortgage payment app must call email time transfer toward mortgage furthermore unlocked bootloader root punish disable fingerprint login
Everytime you actually need to use the app for something important they are updating or under maintenance. Get used to it.,2025-02-15,2,everytime actually need use app something important update maintenance get use
Worse than useless. TD Bank has horrible software engineers who can't figure out how to make final automatic payments that were agreed to in writing at the time of the loan. The qpp shows the wrong payoff amount allowing TD to charge extra interest. App changes and payments take up to two weeks to shoe..even for just an address change. This delay allows TD to claim they sent out a notice that they unilaterally changed payment process . TD should be fined for having an app this awful,2025-02-14,2,bad useless Bank horrible software engineer figure make final automatic payment agree write time loan qpp show wrong payoff amount allow charge extra interest App change payment take two week shoe even address change delay allow claim send notice unilaterally change payment process fine app awful
"This app is so slow now since the update. Takes forever to load and more than half the time it won't load my bank statements. It's making me want to leave TD and switch to a bank where I can use the actual app. Also, it's almost 2025, why do we still not have a TD auto finance app? Update 2/13: This app is absolutely horrible. The thing never works. Never loads. My screen times out before I can even see my statements. I think at this point it's time to switch banks.",2025-02-14,2,app slow since update take forever load half time load bank statement make want leave switch bank use actual app also almost still auto finance app update app absolutely horrible thing never work never load screen time even see statement think point time switch bank
App keeps crashing. It doesn't let me in my account. I can only get to my account by direct website so there's really no point in having the app,2025-02-11,2,App keep crash let account get account direct website really point app
It hangs up on please wait. Can't get in since update.,2025-02-09,2,hang please wait get since update
i am unable to use the app to deposit checks on my iPad. Was able to do so previously. get a message about app not being able to find a camera. tried to put the app on my laptop with no luck.,2025-02-08,2,unable use app deposit check iPad able previously get message app able find camera try put app laptop luck
Trash app,2025-02-06,2,Trash app
"STOP CHARGING VETERANS and U.S. Military Personnel FOR INTERNATIONAL ATM FEES, AND REFUND THE FEE THE INTERNATIONAL Bank Charges! YOU CHARGE ME WAY TOO MUCH, TD, AND I AM A 100% U.S. SERVICE CONNECTED DISABLED VETERAN LIVING IN NEPAL!!!!!!! IF I COULD GIVE YOU NEGATIVE ONE MILLION STARS, I WOULD!!!!!!!!!!",2025-02-05,2,stop charge VETERANS Military Personnel INTERNATIONAL ATM FEES refund FEE INTERNATIONAL Bank Charges charge WAY TOO MUCH SERVICE connected disabled VETERAN live NEPAL could give negative one million star would
"Bad services, slow responses, bad credit card management",2025-02-03,2,bad service slow response bad credit card management
Always buggy cant pay your bills on time and get dinged because the app wont send transactions through.,2025-02-02,2,always buggy pay bill time get dinge app send transaction
"Since the update, I can't pay my credit card bill. My fingerprint won't go through. I have to keep getting my password in. It's a horrible update the rep. tried everything to make it work, and I still can't pay my credit card bill online. Please fix it.",2025-02-01,2,since update pay credit card bill fingerprint keep get password horrible update rep try everything make work still pay credit card bill online please fix
TD S..ks.....costumer service is terrible...also aren't they in a huge lawsuit now?????,2025-02-01,2,costumer service terrible also huge lawsuit
I haven't been able to sign in since the last update.,2025-01-31,2,able sign since last update
Don't see money transfered to bank.,2025-01-30,2,see money transfer bank
"This has to be the worst banking experience I ever had. I think im going to file a discrimination suit against TD BANK. So .. I went in there originally to buy a cashiers check. The head manager told me I can't buy a cashiers check unless I had an account. I went to the post office and brought money orders. I was happy because I got excepted for a new home. Unfortunately Ms Maria Gencarelli, had me sign the lease and decided she had a change of hart and wasn't going to give me the apartment.",2025-01-30,2,bad banking experience ever think go file discrimination suit BANK go originally buy cashier check head manager tell buy cashier check unless account go post office bring money order happy get except new home unfortunately Maria Gencarelli sign lease decide change hart go give apartment
"This app is virtually unusable because, despite having a 'Remember Me' option, it still requires users to enter their full password every time they log in. This is extremely inconvenient, especially for those who don't memorize complex 16-character alphanumeric passwords with symbols.",2025-01-28,2,app virtually unusable despite remember option still require user enter full password every time log extremely inconvenient especially memorize complex character alphanumeric password symbol
Won't work with my phone. Big failure,2025-01-25,2,work phone big failure
"How have you still not fixed Bill Pay? Every time I tap it or go to bill pay activity I get an error window that says ""It's Us, Not You""",2025-01-24,2,still fix Bill Pay every time tap bill pay activity get error window say
Greedy Bank,2025-01-24,2,Greedy Bank
Don't use it anymore,2025-01-24,2,use anymore
Won't let me enter numbers without dashes as requested,2025-01-21,2,let enter number without dash request
"WORST BANK IN THE WORLD! EVERY 3 DAYS THEY WILL BLOCK YOUR ACC FROM SOME STUPID REASONS. ALSO THIS BANK IS CRIMINALS BANK FOR MONEY LOUNEADM THEY BLOCKED ACCESS TO APP AND WEBPORTAL, AND thez tolde Me to go to New Zork in peek. ThT is fkmn",2025-01-12,2,bad BANK world every day block ACC STUPID reason also bank CRIMINALS BANK money louneadm block access APP WEBPORTAL thez tolde New Zork peek tht fkmn
If I could give this upgrade less than 1 star I would. Their version of mobile banking for depositing a check is driving to the ATM and deposting it there. Horrible upgrade!!!,2025-01-09,2,could give upgrade less star would version mobile banking deposit check drive ATM deposte horrible upgrade
"Currently in Jamaica, I lost my phone and cannot access my account from my new device even with my username and password. I cannot contact the bank either! So frustrating 😡",2025-01-08,2,currently Jamaica lose phone access account new device even username password contact bank either frustrating
"I would give this zero stars if I could. Locked out of my account and I can only visit a branch. Problem is I live abroad so that's impossible. Horribly operated bank, who came up with their security systems.",2025-01-08,2,would give zero star could lock account visit branch problem live abroad impossible horribly operate bank come security system
"I can't believe they updated the login screen, breaking password autofill in the process, and STILL have not fixed it. This is a security issue. Autofill is more secure than clipboard where any app can access it, and breaking that is NOT ok, besides for the extra inconvenience of not having the popup right there. Please fix this. Edit: still a problem in 2025. set your autofill hints in your view or your compose components. Few lines for massive security and QoL improvement",2025-01-07,2,believe update login screen break password autofill process still fix security issue Autofill secure clipboard app access break besides extra inconvenience popup right please fix Edit still problem set autofill hint view compose component line massive security qol improvement
Issues with zelle service,2025-01-03,2,issue zelle service
"It doesn't work on my phone anymore and there are no alternatives I can see. It used to work but then without warning, they changed it. I was perfectly happy with the older app. This is not only useless to me, it's an inconvenience.",2025-01-02,2,work phone anymore alternative see use work without warning change perfectly happy old app useless inconvenience
"Horrible, useless app. Mobile deposit NEVER WORKS.",2024-12-31,2,horrible useless app mobile deposit never works
Beware before downloading this app. I deposit Payroll check by mobile. They are holdings 13 calendar days (business day) There is 2 Saturdays 2 Sundays 1 new years day.. I'm working at mid size company(1500 employees) Working that company at 5yaars now. I'm not a rich. When I get paid. I have to pay bills and rent. 13 day holdings like a half of month. I call them what happened. They tell me no reason. Some times this happens. This is not the right answer.,2024-12-31,2,beware download app deposit Payroll check mobile holding calendar day business day Saturdays sunday new year day work mid size employee work company rich get pay pay bill rent day holding like half month call happen tell reason time happen right answer
One of the worst banks and apps I've dealt with. Do not recommend in the slightest. They continue to let a know scam vender charge my card even after I went through 4 disputes. I need a new bank,2024-12-30,2,one bad bank app deal recommend slight continue let know scam vender charge card even go dispute need new bank
I have not been able to deposit a check...it has the same message for months. To come back at another time..,2024-12-25,2,able deposit check message month come back another time
Cannot update no room on my phone,2024-12-20,2,update room phone
"They steal your money and lie to you, they make it difficult to get your money, they make it difficult to get your money, STAY AWAY, THEY WILL STEAL YOUR MONEY AND LIE TO YOU!!!!",2024-12-19,2,steal money lie make difficult get money make difficult get money stay away steal money lie
"Edited to add: App now will not allow Zelle pmts. Won't show the ""continue"" button. App for android not letting me pay any bills for almost a year now. It just closes the app when I try. Have called TDB several times to complain and get help. Have been promised a fix and that someone would call. Never happened. Calls would be disconnected when reps became frustrated. Nothing ever got fixed. I have to navigate to the bank's website to pay all my bills. It's getting to be a real drag.",2024-12-18,2,edit add App allow Zelle pmts show continue button App android let pay bill almost year close app try call tdb several time complain get help promise fix someone would call never happen call would disconnect rep become frustrated nothing ever get fix navigate bank website pay bill get real drag
Ability to deposit checks hasn't worked for weeks now. Update for SIX months later... Still doesn't work!,2024-12-15,2,ability deposit check work week update six month later still work
"App doesn't load in any capacity anymore. No response on startup. Having tried restarting, uninstalling and reinstalling, clearing cache & data. Nothing. On S24 Plus. It's a banking app guys, is really not that hard 🤦‍♂️",2024-12-14,2,App load capacity anymore response startup try restarting uninstalling reinstall clear cache datum nothing Plus banking app guy really hard
"They push, I didn't see more options and they are do it",2024-12-13,2,push see option
"Only app doesn't save fingerprint, and always asking for password even though finger print is enabled. Please fix.",2024-12-11,2,app save fingerprint always ask password even though finger print enable please fix
My app won't let me pay my credit card anymore . This is bs,2024-12-09,2,app let pay credit card anymore
"When I sign in, it wants me to change the password I just changed and when I try to, it tells me my last 4 of social are wrong. Even though I just used that and my birth date to change it on the website. So, not sure what's going on with the app, but it's currently useless, so I uninstalled.",2024-12-07,2,sign want change password change try tell last social wrong even though use birth date change website sure go app currently useless uninstalle
does not work. keeps asking for password.,2024-12-06,2,work keep ask password
"Their most recent update they removed the search option. I use it very frequently to look up all payments to a specific person and direct deposit, zelle payment to a person to see if I paid or not and when. Now I have to waste time and scroll and hope I don't miss the entry. So helpful.",2024-12-05,2,recent update remove search option use frequently look payment specific person direct deposit zelle payment person see pay waste time scroll hope miss entry helpful
I can't because it won't let me put in my username and password,2024-12-02,2,let put username password
"I suggest not setting up credit card auto-pay. I had a $3,800 credit card statement from last month. I paid it all off during the month. Come auto-pay date instead of looking at the $247 balance that I had, they withdrew $3,800!!! Not just that, but they have no way of giving it back other than mailing a check, which could get lost in the mail! What about doing a cash advance to get your money back and getting them to cancel the cash advance fees? Well, they can't cancel CA fees. Insanity! 🤪",2024-11-25,2,suggest set credit card auto pay credit card statement last month pay month come auto pay date instead look balance withdraw way give back mail check could get lose mail cash advance get money back get cancel cash advance fee well cancel fee insanity
can't get zelle set up,2024-11-24,2,get zelle set
". Mobile deposit doesn't work. I click ""enroll"" and all it does is change to a blank page. Pretty useless. Edit: 2024: It seems to not like biometrics because every time I try with my finger print it gives me an error. Still 1 star.",2024-11-23,2,mobile deposit work click enroll change blank page pretty useless edit seem like biometric every time try finger print give error still star
"For several days, I mostly can't get the app to work right. It takes forever to open, staying on the green screen, and when it finally does, won't allow biometrics or username and password. I've tried closing and reopening the app, restarting, and it once or twice has opened after a restart, but that's not been the norm, and it stopped very quickly after. TD Bank promises convenience. This is not convenient!",2024-11-23,2,several day mostly get app work right take forever open stay green screen finally allow biometric username password try close reopen app restarting twice open restart norm stop quickly Bank promise convenience convenient
Their service has gone further and further downhill over time. It's impossible to get anything done - even just getting a card shipped out properly.,2024-11-23,2,service go far far downhill time impossible get anything even get card ship properly
"Terrible service. Having to waste $5.00 for a maintenance monthly fee is bogus. Not to mention, if your card is compromised and you lose money, they will take back the money they initially gave you in the dispute.",2024-11-20,2,terrible service waste maintenance monthly fee bogus mention card compromise lose money take back money initially give dispute
It asked too many updates,2024-11-19,2,ask many update
